,NAME,PRICE,RATINGS,DISCOUNT,REVIEWS AND RATINGS,AVAILABILITY
0,"Apple iPhone 11 (White, 128 GB)","₹73,600",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
1,"Apple iPhone 11 (Black, 64 GB)","₹68,300",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
2,"Apple iPhone 11 (White, 64 GB)","₹68,300",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
3,"Apple iPhone 7 Plus (Black, 32 GB)","₹36,999",4.5,2% off,"24,205 Ratings & 2,590 Reviews",Not Deliverable
4,"Apple iPhone 7 (Black, 32 GB)","₹29,499",4.5,1% off,"86,278 Ratings & 8,706 Reviews",Not Deliverable
5,"Apple iPhone 11 (Purple, 64 GB)","₹68,300",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
6,"Apple iPhone 11 (Black, 128 GB)","₹73,600",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
7,"Apple iPhone 7 Plus (Gold, 32 GB)","₹36,999",4.5,2% off,"24,205 Ratings & 2,590 Reviews",Not Deliverable
8,"Apple iPhone XS (Gold, 64 GB)","₹62,999",4.7,29% off,"8,451 Ratings & 639 Reviews",Not Deliverable
9,"Apple iPhone 8 (Space Grey, 64 GB)","₹38,999",4.5,2% off,"10,005 Ratings & 731 Reviews",Not Deliverable
10,"Apple iPhone XR (White, 128 GB)","₹57,800",4.6,No discount,"8,807 Ratings & 747 Reviews",Coming Soon
11,"Apple iPhone 8 (Silver, 64 GB)","₹38,999",4.5,2% off,"10,005 Ratings & 731 Reviews",Not Deliverable
12,"Apple iPhone 11 (Green, 64 GB)","₹68,300",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
13,"Apple iPhone XR (Black, 128 GB)","₹57,800",4.6,No discount,"8,807 Ratings & 747 Reviews",Coming Soon
14,"Apple iPhone XS (Silver, 64 GB)","₹62,999",4.7,29% off,"8,451 Ratings & 639 Reviews",Not Deliverable
15,"Apple iPhone XS (Space Grey, 64 GB)","₹62,999",4.7,29% off,"8,451 Ratings & 639 Reviews",Not Deliverable
16,"Apple iPhone XR (Blue, 64 GB)","₹52,500",4.6,No discount,"8,807 Ratings & 747 Reviews",Coming Soon
17,"Apple iPhone 7 Plus (Rose Gold, 32 GB)","₹36,999",4.5,2% off,"24,205 Ratings & 2,590 Reviews",Not Deliverable
18,"Apple iPhone 11 (Red, 64 GB)","₹68,300",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
19,"Apple iPhone 11 (Yellow, 128 GB)","₹73,600",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
20,"Apple iPhone XR (White, 64 GB)","₹52,500",4.6,No discount,"8,807 Ratings & 747 Reviews",Coming Soon
21,"Apple iPhone 11 (Red, 128 GB)","₹73,600",4.7,No discount,"10,880 Ratings & 949 Reviews",Coming Soon
22,"Apple iPhone 7 (Rose Gold, 32 GB)","₹29,499",4.5,1% off,"86,278 Ratings & 8,706 Reviews",Not Deliverable
23,"Apple iPhone 6s (Space Grey, 32 GB)","₹25,299",4.5,15% off,"91,398 Ratings & 9,299 Reviews",Not Deliverable
